iter	Logloss
0	0.6882925979
1	0.6816120515
2	0.6766499455
3	0.6716988182
4	0.6670355865
5	0.6618929913
6	0.6561139176
7	0.650644864
8	0.6456587874
9	0.6421898972
10	0.6374814208
11	0.6332162298
12	0.6296156787
13	0.6257761438
14	0.6211079436
15	0.6162908603
16	0.6111274465
17	0.6070633302
18	0.6035189564
19	0.5996787876
20	0.5954233509
21	0.5903245824
22	0.587295114
23	0.5841080206
24	0.5816666759
25	0.5786887795
26	0.5749320259
27	0.5726488164
28	0.5679381565
29	0.5652178502
30	0.5627793808
31	0.5605414543
32	0.5586576549
33	0.5561625637
34	0.552734368
35	0.5507472093
36	0.5482507898
37	0.5462784871
38	0.544452998
39	0.5425624651
40	0.5411238465
41	0.5389123189
42	0.5362329909
43	0.5349952498
44	0.5323340246
45	0.5299354744
46	0.5268795512
47	0.5251375691
48	0.5229297443
49	0.5206146831
50	0.5175286761
51	0.5161370352
52	0.5143976655
53	0.5128659285
54	0.511152605
55	0.5091821115
56	0.5072046254
57	0.5059509339
58	0.5042944171
59	0.5026730989
60	0.501460343
61	0.500106992
62	0.498644829
63	0.4971389632
64	0.4945861001
65	0.4927523019
66	0.4914745508
67	0.4897270718
68	0.4888043646
69	0.4877657434
70	0.4861422852
71	0.4848203943
72	0.483206803
73	0.4817529852
74	0.4800424436
75	0.4780301719
76	0.4765414611
77	0.4752864536
78	0.4744018356
79	0.4723513143
80	0.471502264
81	0.4707138959
82	0.4696570723
83	0.4680945377
84	0.4671123197
85	0.4653494925
86	0.4645186998
87	0.4631146257
88	0.4619220759
89	0.4610563714
90	0.4597961103
91	0.4586593481
92	0.4575623907
93	0.4562706348
94	0.4554657264
95	0.4543715208
96	0.4533258698
97	0.4521553539
98	0.4511067417
99	0.450114022
100	0.4490105974
101	0.4478551301
102	0.4466812666
103	0.4453421097
104	0.4446050783
105	0.4429095095
106	0.4415826059
107	0.4404670832
108	0.4392674424
109	0.4381932874
110	0.4374572189
111	0.4368825375
112	0.4362590212
113	0.4345831432
114	0.4334801538
115	0.4323264732
116	0.4314575403
117	0.4306354555
118	0.429631379
119	0.4281940126
120	0.4271609886
121	0.4263150209
122	0.4252682576
123	0.4244370761
124	0.4232282244
125	0.422527558
126	0.4220702245
127	0.421024373
128	0.4202979244
129	0.4193914062
130	0.4187203764
131	0.4173072304
132	0.4164716616
133	0.4155645862
134	0.4140897734
135	0.413167391
136	0.4125784876
137	0.4113716931
138	0.4104491421
139	0.4096499227
140	0.4081960125
141	0.4075713811
142	0.4063830736
143	0.4050529078
144	0.4041259383
145	0.4030778918
146	0.4022676173
147	0.4009995693
148	0.4001030597
149	0.3995606102
150	0.3988870617
151	0.3982726941
152	0.3974752497
153	0.3967565522
154	0.3955632284
155	0.3946889536
156	0.3936589647
157	0.3927316879
158	0.3923378426
159	0.3911685944
160	0.3894914671
161	0.3883504255
162	0.3877109444
163	0.3871897701
164	0.3861903122
165	0.3850078671
166	0.384480347
167	0.3834734987
168	0.3825794141
169	0.3819635472
170	0.3812949063
171	0.3804558915
172	0.3801909533
173	0.3792175504
174	0.3783726145
175	0.3774184221
176	0.3764153523
177	0.3752901836
178	0.3748660453
179	0.3739667667
180	0.3735357689
181	0.3726756256
182	0.3720457665
