iter	Passed	Remaining
0	240	240137
1	300	149763
2	364	121116
3	442	110216
4	525	104506
5	605	100348
6	673	95505
7	731	90762
8	807	88879
9	872	86371
10	931	83752
11	1011	83311
12	1094	83069
13	1169	82362
14	1262	82879
15	1331	81908
16	1410	81561
17	1523	83095
18	1643	84879
19	1720	84318
20	1777	82851
21	1832	81475
22	1902	80825
23	1962	79816
24	2024	78966
25	2096	78544
26	2178	78497
27	2254	78246
28	2323	77808
29	2405	77789
30	2479	77513
31	2625	79406
32	2723	79806
33	2835	80568
34	2921	80541
35	3037	81326
36	3155	82121
37	3262	82595
38	3349	82537
39	3429	82310
40	3507	82050
41	3572	81480
42	3615	80468
43	3663	79597
44	3714	78824
45	3758	77956
46	3808	77229
47	3852	76416
48	3883	75380
49	3916	74419
50	3957	73632
51	3996	72854
52	4043	72241
53	4088	71618
54	4133	71025
55	4176	70402
56	4225	69909
57	4271	69381
58	4325	68992
59	4367	68431
60	4409	67876
61	4449	67316
62	4478	66610
63	4507	65918
64	4542	65345
65	4580	64816
66	4618	64316
67	4668	63979
68	4704	63472
69	4740	62986
70	4775	62484
71	4820	62132
72	4861	61740
73	4890	61197
74	4913	60598
75	4931	59961
76	4966	59527
77	5000	59104
78	5030	58646
79	5056	58149
80	5084	57690
81	5117	57287
82	5146	56858
83	5173	56411
84	5199	55972
85	5235	55638
86	5271	55319
87	5297	54900
88	5318	54436
89	5338	53975
90	5361	53554
91	5383	53135
92	5408	52747
93	5436	52397
94	5461	52029
95	5491	51706
96	5521	51405
97	5541	51008
98	5568	50681
99	5594	50351
100	5621	50032
101	5648	49727
102	5683	49492
103	5724	49317
104	5758	49083
105	5796	48883
106	5826	48624
107	5854	48353
108	5889	48146
109	5919	47897
110	5953	47682
111	5986	47463
112	6020	47260
113	6063	47125
114	6096	46913
115	6130	46715
116	6175	46608
117	6213	46445
118	6247	46249
119	6277	46036
120	6311	45847
121	6340	45633
122	6370	45423
123	6400	45217
124	6433	45032
125	6464	44841
126	6492	44629
127	6520	44420
128	6551	44232
129	6580	44035
130	6607	43832
131	6634	43625
132	6664	43446
133	6697	43281
134	6727	43108
135	6755	42920
136	6784	42740
137	6812	42555
138	6844	42393
139	6872	42219
140	6901	42045
141	6931	41881
142	6959	41706
143	6995	41582
144	7027	41435
145	7060	41301
146	7093	41161
147	7123	41009
148	7179	41002
149	7243	41044
150	7311	41110
151	7378	41164
152	7415	41054
153	7476	41074
154	7511	40950
155	7535	40770
156	7565	40622
157	7592	40460
158	7618	40295
159	7645	40136
160	7677	40009
161	7705	39860
162	7729	39689
163	7752	39518
164	7772	39333
165	7796	39169
166	7829	39051
167	7855	38904
168	7886	38781
169	7914	38642
170	7941	38501
171	7977	38403
172	8000	38243
173	8027	38108
174	8054	37972
175	8080	37830
176	8103	37679
177	8135	37567
178	8161	37433
179	8191	37317
180	8218	37186
181	8246	37065
182	8273	36936
